,S288c_R64-1-1.fasta,saccharomyces_arboricola.fasta,saccharomyces_eubayanus.fasta,saccharomyces_kudriavzevii.fasta,saccharomyces_mikatae.fasta,saccharomyces_paradoxus.fasta,saccharomyces_uvarum.fasta
YOR364W,1,0,0,0,0,0,0
YOR365C,1,0,0,0,0,0,0
YOR366W,1,0,0,0,0,0,0
YOR367W,1,0,1,0,0,0,1
YOR368W,1,1,1,1,1,1,1
YOR369C,1,1,1,1,1,1,1
YOR370C,1,1,1,1,1,1,1
YOR371C,1,1,1,1,1,1,1
YOR372C,1,1,1,1,1,1,1
YOR373W,1,1,1,1,1,1,1
YOR374W,1,1,1,1,1,1,1
YOR375C,2,2,2,2,2,2,2
YOR376W,1,0,0,0,0,0,0
YOR376W-A,1,0,0,0,0,0,0
YOR377W,1,1,1,1,1,1,1
YOR378W,1,0,1,0,1,0,1
YOR379C,1,0,0,0,0,0,0
YOR380W,1,1,1,1,1,1,0
YOR381W,2,1,1,1,2,2,1
YOR381W-A,1,0,0,0,0,0,0
YOR382W,1,1,2,1,0,1,1
YOR383C,1,1,2,0,0,1,0
YOR384W,1,1,2,1,0,1,1
YOR385W,1,0,0,0,0,1,0
YOR386W,1,1,1,1,1,1,1
YOR387C,2,1,1,2,1,2,1
YOR392W,1,0,0,0,0,0,0
YOR394C-A,1,0,0,0,0,0,0
YOR394W,22,14,11,11,9,18,8
YPL001W,1,1,1,1,1,1,1
YPL002C,1,1,1,1,1,1,1
YPL003W,1,1,0,1,1,1,0
YPL005W,1,1,1,1,0,0,1
YPL006W,1,1,1,1,1,1,1
YPL007C,1,1,1,1,1,1,1
YPL008W,1,1,1,1,1,1,1
YPL009C,1,1,0,1,1,1,0
YPL010W,1,1,1,1,1,1,1
YPL011C,1,1,1,1,1,1,1
YPL012W,1,1,1,1,1,1,1
YPL013C,1,1,1,1,1,1,1
YPL014W,1,1,1,1,1,1,1
YPL015C,1,1,1,1,1,1,1
YPL016W,1,1,1,1,1,1,1
YPL017C,1,1,1,1,1,1,1
YPL018W,1,1,1,1,1,1,1
YPL019C,1,1,1,1,1,1,1
YPL020C,1,1,1,1,1,0,0
YPL021W,1,0,0,0,1,1,0
YPL022W,1,1,1,1,1,1,1
YPL023C,1,1,1,1,1,1,1
YPL024W,1,1,1,1,1,1,1
YPL025C,1,0,0,0,0,0,0
YPL026C,1,1,1,1,1,1,1
YPL027W,1,0,0,1,1,0,0
YPL028W,1,0,0,1,0,0,0
YPL029W,1,0,0,1,0,0,0
YPL030W,1,1,1,1,0,0,1
YPL031C,1,1,1,1,0,1,1
YPL032C,1,1,1,1,1,1,1
YPL033C,1,0,0,1,1,1,0
YPL034W,1,1,1,1,0,1,1
YPL035C,1,0,0,0,0,0,0
YPL037C,1,1,1,1,1,1,1
YPL038W,1,0,0,0,0,0,0
YPL038W-A,1,0,0,0,0,0,0
YPL039W,1,1,1,1,1,1,1
YPL040C,1,1,1,1,1,1,1
YPL041C,1,0,1,1,1,1,1
YPL042C,1,0,1,1,1,1,1
YPL043W,1,1,0,0,1,1,1
YPL044C,1,0,0,0,0,0,0
YPL045W,1,1,1,1,1,1,1
YPL046C,1,1,1,1,1,1,1
YPL047W,1,1,0,0,0,0,0
YPL048W,1,1,1,1,1,1,1
YPL049C,1,1,1,1,1,1,1
YPL050C,1,1,1,1,1,1,1
YPL051W,1,0,0,0,0,0,0
YPL052W,1,0,0,0,0,0,0
YPL053C,1,1,1,1,1,1,1
YPL054W,1,1,1,1,1,1,1
YPL055C,1,0,0,1,1,1,0
YPL056C,1,0,0,0,0,0,0
YPL057C,1,1,1,1,1,1,1
YPL058C,1,1,1,1,1,1,1
YPL059W,1,1,1,1,1,1,1
YPL060C-A,3,0,0,0,0,0,0
YPL060W,1,1,1,0,0,0,1
YPL061W,1,1,1,1,1,1,1
YPL062W,1,0,0,0,0,0,0
YPL063W,1,1,1,1,1,1,1
YPL064C,1,0,0,0,0,1,0
YPL065W,1,1,0,1,0,0,1
YPL066W,1,1,1,1,1,1,1
YPL067C,1,0,0,0,0,0,0
YPL068C,1,0,0,0,0,0,0
YPL069C,1,0,1,1,0,0,1
YPL070W,1,1,1,1,1,1,1
YPL071C,1,1,1,1,1,1,1
YPL072W,1,0,0,0,1,1,0
YPL073C,1,0,0,0,0,0,0
YPL074W,1,0,1,1,1,1,0
YPL075W,1,0,0,1,1,1,0
YPL076W,1,1,1,1,1,1,1
YPL077C,1,1,1,1,1,1,1
YPL078C,1,1,1,1,1,1,1
YPL079W,2,0,0,0,0,0,1
YPL080C,1,0,0,0,0,0,0
YPL081W,2,0,0,0,1,1,1
YPL082C,1,1,1,1,1,1,1
YPL083C,1,0,0,0,1,1,0
YPL084W,1,1,1,0,0,0,1
YPL085W,1,0,0,0,0,1,0
YPL086C,1,1,1,1,1,1,1
YPL087W,1,1,1,1,1,1,1
YPL088W,1,1,1,1,1,1,1
YPL089C,1,0,1,1,1,1,1
YPL090C,2,0,2,2,2,2,2
YPL091W,1,1,1,1,0,2,1
YPL092W,1,1,0,0,1,1,0
YPL093W,1,1,1,1,1,1,1
YPL094C,1,1,1,1,1,1,1
YPL095C,1,1,1,1,1,1,1
YPL096C-A,1,1,0,0,0,0,0
YPL096W,1,0,0,0,0,0,0
YPL097W,1,1,1,1,1,1,1
YPL098C,1,0,0,0,0,0,0
YPL099C,1,0,0,0,0,1,0
YPL100W,1,1,1,1,1,1,1
YPL101W,1,1,1,1,0,1,0
YPL102C,1,0,0,0,0,0,0
YPL103C,1,1,1,1,1,1,1
YPL104W,1,1,1,1,1,1,1
YPL105C,1,0,0,0,1,1,0
YPL106C,2,2,2,2,2,2,2
YPL107W,1,1,1,1,1,1,1
YPL108W,1,0,0,0,0,0,0
YPL109C,1,1,1,1,1,1,1
YPL110C,1,1,1,1,1,1,1
YPL111W,1,1,1,1,1,1,1
YPL112C,1,1,1,1,1,1,1
YPL113C,1,1,1,1,1,1,1
YPL114W,1,0,0,0,0,0,0
YPL115C,1,1,1,1,1,1,1
YPL116W,1,1,1,1,1,1,1
YPL117C,1,1,1,1,1,1,1
YPL118W,1,1,1,1,1,1,1
YPL119C,1,1,1,1,1,1,1
YPL119C-A,1,0,0,0,0,0,0
YPL120W,1,1,1,1,1,1,1
YPL121C,1,0,1,0,0,0,1
YPL122C,1,1,1,0,0,0,1
YPL123C,1,1,1,0,0,0,0
YPL124W,1,1,1,1,1,1,0
YPL125W,1,1,1,1,1,1,1
YPL126W,1,1,1,0,1,1,1
YPL127C,1,1,1,1,1,1,1
YPL128C,1,1,1,1,1,1,1
YPL129W,1,1,1,0,1,0,1
YPL130W,1,0,0,0,0,0,0
YPL131W,1,1,1,0,1,0,1
YPL132W,1,1,1,1,1,1,1
YPL133C,1,1,1,1,1,1,1
YPL134C,1,1,0,1,0,0,0
YPL135C-A,1,0,0,0,0,0,0
YPL136W,1,0,0,0,0,0,0
YPL137C,1,1,1,1,1,1,1
YPL138C,1,0,1,0,1,0,1
YPL139C,1,1,1,1,1,1,1
YPL140C,1,0,0,0,0,0,0
YPL141C,1,1,1,1,1,1,1
YPL142C,1,0,0,0,0,0,0
YPL143W,2,1,2,2,2,2,1
YPL144W,1,1,1,1,1,1,1
YPL145C,1,1,1,1,1,1,1
YPL146C,1,1,1,1,1,1,1
YPL147W,1,1,1,1,1,1,1
YPL148C,1,1,1,1,1,1,1
YPL149W,1,1,1,1,1,1,1
YPL150W,1,1,1,1,1,1,1
YPL151C,1,1,1,1,1,1,1
YPL152W,1,1,1,1,1,1,1
snap_masked-Sbay_10-processed-gene-4.63-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_10-processed-gene-4.125-mRNA-1_1,0,0,1,0,0,0,1
snap_masked-Sbay_10-processed-gene-4.74-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_10-processed-gene-4.77-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_10-processed-gene-4.82-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_10-processed-gene-4.83-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_10-processed-gene-4.160-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_10-processed-gene-5.70-mRNA-1_1,0,0,0,0,0,0,1
augustus_masked-Sbay_10-processed-gene-6.35-mRNA-1_1,0,0,1,0,0,0,1
genemark-Sbay_10-processed-gene-6.117-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_10-processed-gene-7.35-mRNA-1_1,0,0,0,0,0,0,1
augustus_masked-Sbay_10-processed-gene-7.8-mRNA-1_1,0,1,1,0,0,0,1
genemark-Sbay_10-processed-gene-7.113-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_10-processed-gene-7.98-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_10-processed-gene-8.1-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_10-processed-gene-8.2-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_10-processed-gene-8.49-mRNA-1_1,0,0,1,0,0,0,1
augustus_masked-Sbay_10-processed-gene-8.96-mRNA-1_1,0,0,0,1,0,0,1
maker-Sbay_10-augustus-gene-8.133-mRNA-1_1,0,0,1,0,0,0,1
snap_masked-Sbay_10-processed-gene-9.83-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_10-processed-gene-9.61-mRNA-1_1,0,0,1,0,0,0,1
snap_masked-Sbay_10-processed-gene-9.99-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_11-processed-gene-0.57-mRNA-1_1,0,0,1,0,0,0,1
snap_masked-Sbay_11-processed-gene-1.32-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_11-processed-gene-1.33-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_11-processed-gene-2.36-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_11-processed-gene-2.96-mRNA-1_1,0,0,1,0,0,0,1
genemark-Sbay_11-processed-gene-2.101-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_11-processed-gene-2.56-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_11-processed-gene-3.16-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_11-processed-gene-4.11-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_11-processed-gene-4.85-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_11-processed-gene-4.88-mRNA-1_1,0,0,1,0,0,0,1
genemark-Sbay_11-processed-gene-4.69-mRNA-1_1,0,0,1,0,0,0,1
snap_masked-Sbay_11-processed-gene-5.135-mRNA-1_1,0,0,1,0,0,0,1
snap_masked-Sbay_11-processed-gene-5.153-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_11-processed-gene-5.93-mRNA-1_1,0,1,1,0,0,0,1
maker-Sbay_12-augustus-gene-0.114-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_12-processed-gene-0.24-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_12-processed-gene-0.48-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_12-processed-gene-0.50-mRNA-1_1,0,1,1,1,0,1,1
snap_masked-Sbay_12-processed-gene-0.35-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_12-processed-gene-0.39-mRNA-1_1,0,1,1,0,0,0,1
genemark-Sbay_12-processed-gene-1.115-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_12-processed-gene-2.63-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_12-processed-gene-2.92-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_12-processed-gene-2.138-mRNA-1_1,0,0,1,0,0,0,1
snap_masked-Sbay_12-processed-gene-3.133-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_12-processed-gene-3.169-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_12-processed-gene-3.106-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_12-processed-gene-3.83-mRNA-1_1,0,0,1,0,0,0,1
snap_masked-Sbay_12-processed-gene-3.153-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_12-processed-gene-3.158-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_12-processed-gene-3.192-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_12-processed-gene-3.196-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_12-processed-gene-3.197-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_13-processed-gene-0.49-mRNA-1_1,0,0,0,0,0,1,1
snap_masked-Sbay_13-processed-gene-0.73-mRNA-1_1,0,0,1,0,0,0,1
snap_masked-Sbay_13-processed-gene-0.74-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_13-processed-gene-0.75-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_13-processed-gene-0.108-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_13-processed-gene-1.117-mRNA-1_1,0,0,0,0,0,0,1
augustus_masked-Sbay_13-processed-gene-1.9-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_13-processed-gene-1.73-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_13-processed-gene-2.5-mRNA-1_1,0,0,1,0,0,0,1
snap_masked-Sbay_13-processed-gene-2.81-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_13-processed-gene-2.82-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_13-processed-gene-2.25-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_13-processed-gene-3.33-mRNA-1_1,0,0,0,0,0,0,1
maker-Sbay_13-augustus-gene-4.138-mRNA-1_1,0,0,1,0,0,0,1
genemark-Sbay_13-processed-gene-4.59-mRNA-1_1,0,0,1,0,0,0,1
snap_masked-Sbay_13-processed-gene-4.46-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_13-processed-gene-5.52-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_13-processed-gene-5.59-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_13-processed-gene-5.63-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_13-processed-gene-5.83-mRNA-1_1,0,0,0,1,0,0,1
genemark-Sbay_13-processed-gene-5.19-mRNA-1_1,0,0,1,1,0,0,1
genemark-Sbay_13-processed-gene-6.39-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_13-processed-gene-7.69-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_13-processed-gene-7.102-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_13-processed-gene-7.77-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_13-processed-gene-8.88-mRNA-1_1,0,1,0,0,0,0,1
genemark-Sbay_13-processed-gene-8.30-mRNA-1_1,0,0,1,0,0,0,1
augustus_masked-Sbay_13-processed-gene-8.127-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_13-processed-gene-8.108-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_14-processed-gene-0.47-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_14-processed-gene-0.8-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_14-processed-gene-0.9-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_14-processed-gene-1.9-mRNA-1_1,0,1,0,0,0,0,1
snap_masked-Sbay_14-processed-gene-1.10-mRNA-1_1,0,0,0,0,0,0,1
snap_masked-Sbay_14-processed-gene-2.127-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_14-processed-gene-2.84-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_14-processed-gene-2.67-mRNA-1_1,0,0,0,0,1,0,1
genemark-Sbay_14-processed-gene-3.89-mRNA-1_1,0,0,1,0,0,0,1
augustus_masked-Sbay_14-processed-gene-3.21-mRNA-1_1,0,0,0,0,0,0,1
genemark-Sbay_14-processed-gene-3.91-mRNA-1_1,0,0,0,0,0,0,1
YCR040W,2,1,2,1,0,2,1
YCR042C,1,1,1,1,1,1,1
YCR043C,1,0,0,0,0,0,0
YCR044C,1,0,0,0,0,0,0
YER073W,1,1,1,1,1,1,1
YER074W-A,1,1,0,1,1,1,1
YER075C,1,1,1,1,1,1,1
YER076C,1,0,0,0,0,1,0
YER076W-A,1,0,0,0,0,0,0
YER077C,1,1,1,1,1,1,1
YER078C,1,0,0,0,0,0,0
YER078W-A,1,0,0,0,0,0,0
YER079C-A,1,0,0,0,0,0,0
YER079W,1,1,1,1,1,1,1
YER080W,1,1,1,1,1,1,1
YER082C,1,1,1,1,1,1,1
YER083C,1,0,0,1,0,1,1
YER084W,1,0,0,0,0,0,0
YER084W-A,1,0,0,0,0,0,0
YER085C,1,0,0,0,0,1,0
YER086W,1,1,0,0,0,1,1
YER087C-A,1,0,0,0,0,0,0
YER087C-B,1,1,1,1,0,0,0
YER087W,1,1,0,0,0,1,1
YER088C,1,1,1,1,1,1,1
YER088C-A,1,0,0,0,0,0,0
YER088W-B,1,0,0,0,0,0,0
YER089C,1,1,0,1,1,1,1
YER090C-A,1,0,0,0,0,0,0
YER090W,1,1,1,1,1,1,1
YER091C,1,1,1,1,1,1,1
YER091C-A,1,0,0,0,0,0,0
YER092W,1,1,1,1,1,1,1
YER093C,1,1,1,1,1,1,1
YER093C-A,1,0,0,0,0,0,0
YER094C,1,0,1,1,1,0,0
YER095W,1,1,1,1,1,1,1
YER096W,1,0,0,0,0,1,0
YER097W,1,0,0,0,0,0,0
YER098W,1,1,1,1,1,1,1
YER099C,2,2,1,1,2,1,2
YER100W,1,1,1,1,1,1,1
YER101C,1,1,1,1,1,1,1
YER102W,2,2,2,2,2,2,2
YER104W,1,0,0,0,0,0,0
YER105C,1,1,1,1,1,1,1
YER106W,1,0,0,0,0,1,0
YER107C,1,1,1,1,1,1,1
YER107W-A,1,0,0,0,0,0,0
YER109C,1,1,0,1,1,1,0
YER110C,1,1,1,1,1,1,1
YER111C,1,1,1,1,1,1,1
YER112W,1,1,1,1,1,1,0
YER113C,1,1,1,1,1,1,1
YER114C,1,1,1,1,1,1,1
YER115C,1,0,1,0,1,0,1
YER116C,1,0,0,0,1,1,0
YER117W,2,2,2,2,2,2,2
YER118C,1,1,1,1,1,1,1
YER119C,1,1,1,1,1,1,1
YER119C-A,1,0,0,0,0,0,0
YER120W,1,1,1,1,1,1,1
YER121W,1,0,0,0,0,0,0
YER122C,1,1,1,1,1,1,1
YER123W,1,1,1,1,1,1,1
YER124C,1,1,1,1,1,1,1
YER125W,1,1,1,1,1,1,1
YER126C,1,1,1,1,1,1,1
YER127W,1,1,1,1,1,1,1
YER128W,1,1,0,1,1,1,0
YER129W,1,1,1,1,1,1,1
YER130C,1,1,1,1,1,1,1
YER132C,1,1,1,1,1,1,1
YER133W,1,1,1,1,1,1,1
YER133W-A,1,0,0,0,0,0,0
YER134C,1,0,1,1,1,1,1
YER135C,1,0,0,0,0,0,0
YER136W,1,1,1,1,1,1,1
YER137C,1,0,0,0,1,1,0
YER137W-A,1,0,0,0,0,0,0
YER138W-A,2,0,0,0,0,0,0
YER139C,1,1,1,1,1,1,1
YER140W,1,1,1,1,0,0,1
YER141W,1,0,0,0,1,1,0
YER142C,1,1,1,1,1,1,1
YER143W,1,1,1,1,1,1,1
YER144C,1,1,1,1,1,1,1
YER145C,1,1,1,1,1,1,1
YER145C-A,1,0,0,0,0,0,0
YER146W,1,1,1,1,1,1,1
YER147C,1,1,1,1,1,1,1
YER147C-A,1,0,0,0,0,0,0
YER148W,1,1,1,1,1,1,1
YER148W-A,1,0,0,0,0,0,0
YJL132W,1,1,1,1,1,1,1
YJL133C-A,1,1,1,1,1,1,1
YJL134W,1,1,1,1,1,1,1
YJL135W,1,0,0,0,0,0,0
YJL136W-A,1,0,0,0,0,0,0
YJL137C,1,1,0,0,0,0,0
YJL139C,1,1,0,1,1,1,1
YJL140W,1,1,1,1,1,1,1
YJL141C,1,1,1,1,1,1,0
YJL142C,1,0,0,0,0,0,0
snap_masked-Smik_2-processed-gene-3.3-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_2-processed-gene-3.30-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_2-processed-gene-3.32-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_2-processed-gene-3.38-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_2-processed-gene-4.76-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_2-processed-gene-4.69-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_2-processed-gene-4.92-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_2-processed-gene-5.11-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_2-processed-gene-5.17-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_2-processed-gene-5.44-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_2-processed-gene-5.25-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_2-processed-gene-6.209-mRNA-1_1,0,0,0,0,1,0,0
augustus_masked-Smik_2-processed-gene-6.4-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Smik_2-processed-gene-6.261-mRNA-1_1,0,0,0,0,1,0,0
snap_masked-Spar_5-processed-gene-4.111-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_5-processed-gene-4.117-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_5-processed-gene-4.155-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_5-processed-gene-4.165-mRNA-1_1,0,0,0,0,0,1,0
augustus_masked-Spar_5-processed-gene-4.239-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_6-processed-gene-0.57-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_6-processed-gene-0.63-mRNA-1_1,0,0,0,0,0,1,0
augustus_masked-Spar_6-processed-gene-0.16-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_6-processed-gene-0.80-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_6-processed-gene-0.65-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_6-processed-gene-1.11-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_6-processed-gene-2.57-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_6-processed-gene-2.133-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_6-processed-gene-2.81-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_6-processed-gene-2.115-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_6-processed-gene-2.138-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_6-processed-gene-2.100-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_6-processed-gene-2.101-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_6-processed-gene-2.102-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_7-processed-gene-0.72-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_7-processed-gene-1.41-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_7-processed-gene-2.11-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_7-processed-gene-2.44-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_7-processed-gene-2.45-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_7-processed-gene-4.72-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_7-processed-gene-4.95-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_7-processed-gene-5.21-mRNA-1_1,0,1,1,1,0,1,1
snap_masked-Spar_7-processed-gene-6.95-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_7-processed-gene-6.125-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_7-processed-gene-7.51-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_7-processed-gene-7.123-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_7-processed-gene-7.81-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_7-processed-gene-9.110-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_8-processed-gene-0.35-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_8-processed-gene-0.36-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-0.77-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-0.95-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-0.83-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-1.115-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-1.142-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-1.151-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-1.152-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-1.153-mRNA-1_1,0,0,1,0,0,1,0
snap_masked-Spar_8-processed-gene-2.32-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-3.95-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-4.61-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-4.62-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-4.63-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_8-processed-gene-4.100-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-4.41-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-4.71-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-4.46-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-4.74-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-4.76-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_8-processed-gene-4.50-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_8-snap-gene-4.195-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_9-processed-gene-0.35-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_9-processed-gene-0.37-mRNA-1_1,0,0,0,0,0,1,0
maker-Spar_9-snap-gene-0.32-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_9-processed-gene-1.60-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_9-processed-gene-1.69-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_9-processed-gene-1.28-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_9-processed-gene-2.78-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_9-processed-gene-2.95-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_9-processed-gene-2.67-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_9-processed-gene-2.68-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_9-processed-gene-3.181-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_9-processed-gene-3.188-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_9-processed-gene-3.167-mRNA-1_1,0,0,0,0,0,1,0
snap_masked-Spar_9-processed-gene-3.176-mRNA-1_1,0,0,0,0,0,1,0
genemark-Spar_9-processed-gene-3.133-mRNA-1_1,0,0,0,0,0,1,0
